sessionnumb  20260924122212 
16 17 419 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 408 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
18 19 857 [ [ -2, 18 ], [ 1, 136 ], [ 3, 170 ] ] 
17 18 676 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 430 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 499 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 410 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 716 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 521 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 546 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
